id,name,address,subnet mask,network,port
91,net91,172.16.91.1,255.255.255.0,172.16.91.0,vlan 91
92,net92,172.16.92.1,255.255.255.0,172.16.92.0,vlan 92
93,net93,172.16.93.1,255.255.255.0,172.16.93.0,vlan 93
94,net94,172.16.94.1,255.255.255.0,172.16.94.0,vlan 94
95,net95,172.16.95.1,255.255.255.0,172.16.95.0,vlan 95
96,net96,172.16.96.1,255.255.255.0,172.16.96.0,vlan 96
97,net97,172.16.97.1,255.255.255.0,172.16.97.0,vlan 97
98,net98,172.16.98.1,255.255.255.0,172.16.98.0,vlan 98
99,net99,172.16.99.1,255.255.255.0,172.16.99.0,vlan 99
100,net100,172.16.100.1,255.255.255.0,172.16.100.0,vlan 100
