id,name,address,subnet mask,network,port
78,net78,172.16.78.1,255.255.255.0,172.16.78.0,
79,net79,172.16.79.1,255.255.255.0,172.16.79.0,
80,net80,172.16.80.1,255.255.255.0,172.16.80.0,
81,net81,172.16.81.1,255.255.255.0,172.16.81.0,
82,net82,172.16.82.1,255.255.255.0,172.16.82.0,
83,net83,172.16.83.1,255.255.255.0,172.16.83.0,
84,net84,172.16.84.1,255.255.255.0,172.16.84.0,
85,net85,172.16.85.1,255.255.255.0,172.16.85.0,
86,net86,172.16.86.1,255.255.255.0,172.16.86.0,
87,net87,172.16.87.1,255.255.255.0,172.16.87.0,
88,net88,172.16.88.1,255.255.255.0,172.16.88.0,
89,net89,172.16.89.1,255.255.255.0,172.16.89.0,
90,net90,172.16.90.1,255.255.255.0,172.16.90.0,
91,net91,172.16.91.1,255.255.255.0,172.16.91.0,
92,net92,172.16.92.1,255.255.255.0,172.16.92.0,
93,net93,172.16.93.1,255.255.255.0,172.16.93.0,
94,net94,172.16.94.1,255.255.255.0,172.16.94.0,
95,net95,172.16.95.1,255.255.255.0,172.16.95.0,
96,net96,172.16.96.1,255.255.255.0,172.16.96.0,
97,net97,172.16.97.1,255.255.255.0,172.16.97.0,
98,net98,172.16.98.1,255.255.255.0,172.16.98.0,
99,net99,172.16.99.1,255.255.255.0,172.16.99.0,
100,net100,172.16.100.1,255.255.255.0,172.16.100.0,
